article,distance,destination,child
International Shooting Sport Federation,4,Competitive,Shooting at the Summer Olympics
50 metre rifle prone,5,Competitive,International Shooting Sport Federation
Shooting at the 2006 Asian Games - Men's 50 metre rifle prone,6,Competitive,50 metre rifle prone
Unicameral,12,Existence,Government
Australian Capital Territory Legislative Assembly,13,Existence,Unicameral
Canberra Innovation Network,14,Existence,Australian Capital Territory Legislative Assembly
Comune,13,Existence,Administrative division
Carbonara al Ticino,14,Existence,Comune
Otter Plain,0,Otter Plain,Sigurd Knolls
Sigurd Knolls,0,Otter Plain,Otter Plain
Thermodynamics,7,Existence,Physics
Compressibility,8,Existence,Thermodynamics
Liquid,9,Existence,Compressibility
Drink,10,Existence,Liquid
Alcoholic drink,11,Existence,Drink
Beer,12,Existence,Alcoholic drink
Brewery,13,Existence,Beer
Ridley's Brewery,14,Existence,Brewery
Ridley's,15,Existence,Ridley's Brewery
Scientific discipline,4,Existence,Science
Chemistry,5,Existence,Scientific discipline
Organic chemistry,6,Existence,Chemistry
Hydrocarbon,7,Existence,Organic chemistry
Natural gas,8,Existence,Hydrocarbon
Triton Energy,9,Existence,Natural gas
Dissemination,6,Existence,Communication
Publishing,7,Existence,Dissemination
Literary fiction,8,Existence,Publishing
Crime fiction,9,Existence,Literary fiction
Detective fiction,10,Existence,Crime fiction
Police procedural,11,Existence,Detective fiction
NCIS (season 8),12,Existence,Police procedural
Mountain,10,Existence,Landform
Mountain range,11,Existence,Mountain
Balkan Mountains,12,Existence,Mountain range
Sherba Ridge,13,Existence,Balkan Mountains
Stefano de Gregorio,18,Existence,Argentina
Railway,9,Existence,Transport
Tuon Line,10,Existence,Railway
Direct tax,0,Direct tax,Tax
Tax,0,Direct tax,Direct tax
Tax avoidance,1,Direct tax,Tax
Tax breaks,2,Direct tax,Tax avoidance
Private university,3,Direct tax,Tax breaks
Massachusetts Institute of Technology,4,Direct tax,Private university
MIT Science Fiction Society,5,Direct tax,Massachusetts Institute of Technology
Common law,13,Existence,Law
Royal prerogative,14,Existence,Common law
Royal Charter,15,Existence,Royal prerogative
Royal Asiatic Society,16,Existence,Royal Charter
Fellows of The Royal Asiatic Society of Great Britain and Ireland,17,Existence,Royal Asiatic Society
Rabindranath Tagore,18,Existence,Fellows of The Royal Asiatic Society of Great Britain and Ireland
Chaturanga (novel),19,Existence,Rabindranath Tagore
"Portland, Kansas",15,Existence,Unincorporated area
Aragon,20,Existence,Autonomous communities of Spain
Teruel,21,Existence,Aragon
Torre de San Martin,22,Existence,Teruel
Vehicles,10,Existence,Machine
Watercraft,11,Existence,Vehicles
Ship,12,Existence,Watercraft
Gasoline tanker,13,Existence,Ship
Mettawee-class gasoline tanker,14,Existence,Gasoline tanker
USS Wautauga (AOG-22),15,Existence,Mettawee-class gasoline tanker
Mexico,17,Existence,North America
Fermin Revueltas Sanchez,18,Existence,Mexico
Barbarian,9,Existence,Human
List of South African slang words,10,Existence,Barbarian
Russia,11,Existence,List of transcontinental countries
Subdivisions of Russia,12,Existence,Russia
City of federal subject significance,13,Existence,Subdivisions of Russia
List of districts in Russia,14,Existence,City of federal subject significance
Germany,18,Existence,Central Europe
GfK Entertainment Charts,19,Existence,Germany
List of number-one hits (Germany),20,Existence,GfK Entertainment Charts
List of number-one hits of 2010 (Germany),21,Existence,List of number-one hits (Germany)
Aircraft,10,Existence,Machine
Fixed-wing aircraft,11,Existence,Aircraft
Glider aircraft,12,Existence,Fixed-wing aircraft
Sailplane,13,Existence,Glider aircraft
Cijan-Obad Orao,14,Existence,Sailplane
Political science,5,Existence,Social science
Legitimacy (political),6,Existence,Political science
Authority,7,Existence,Legitimacy (political)
Executive (government),8,Existence,Authority
Public policy,9,Existence,Executive (government)
Public administration,10,Existence,Public policy
Local government,11,Existence,Public administration
Towns of Japan,12,Existence,Local government
"Onagawa, Miyagi",13,Existence,Towns of Japan
Panama,18,Existence,Central America
Provinces of Panama,19,Existence,Panama
Panama Oeste Province,20,Existence,Provinces of Panama
"Coloncito, Panama",21,Existence,Panama Oeste Province
Coloncito,22,Existence,"Coloncito, Panama"
Country subdivision,12,Existence,Country
Administrative divisions of Iran,13,Existence,Country subdivision
Rural Districts of Iran,14,Existence,Administrative divisions of Iran
Howmeh-ye Sharqi Rural District (Izeh County),15,Existence,Rural Districts of Iran
Kul-e Jaz,16,Existence,Howmeh-ye Sharqi Rural District (Izeh County)
Taxonomy (biology),7,Existence,Biology
Genus,8,Existence,Taxonomy (biology)
Lentivirus,9,Existence,Genus
HIV,10,Existence,Lentivirus
Children's HIV Association,11,Existence,HIV
Academic publishing,8,Existence,Publishing
Scientific journal,9,Existence,Academic publishing
IMRAD,10,Existence,Scientific journal
Report,11,Existence,IMRAD
Journalism,12,Existence,Report
Investigative journalism,13,Existence,Journalism
Christopher Drew (journalist),14,Existence,Investigative journalism
Pabst Brewing Company,13,Existence,United States
Rudolph J. Nunnemacher,14,Existence,Pabst Brewing Company
Madrid,19,Existence,Spain
Palacio de los Concejos,20,Existence,Madrid
Physical system,7,Existence,Physics
Quantum indeterminacy,8,Existence,Physical system
Indeterminacy in computation (disambiguation),9,Existence,Quantum indeterminacy
Indeterminacy,10,Existence,Indeterminacy in computation (disambiguation)
Australian rules football,4,Competitive,Contact sport
Wayne Gordon (footballer),5,Competitive,Australian rules football
Gmina Lubraniec,20,Existence,Gmina
Milzynek,21,Existence,Gmina Lubraniec
Unincorporated community,14,Existence,Real property
"New Hope, Charles City County, Virginia",15,Existence,Unincorporated community
Organism,7,Existence,Biology
Multicellular organism,8,Existence,Organism
Plant,9,Existence,Multicellular organism
Markhamia obtusifolia,10,Existence,Plant
South Asia,14,Existence,South
India,15,Existence,South Asia
Indian cinema,16,Existence,India
Malayalam film,17,Existence,Indian cinema
Malayalam films of 1978,18,Existence,Malayalam film
Kalpavriksham,19,Existence,Malayalam films of 1978
Song,8,Existence,Musical composition
Hymn,9,Existence,Song
Hymnal,10,Existence,Hymn
Hymns Ancient and Modern,11,Existence,Hymnal
Daniel Siboni,11,Existence,France
Austria,18,Existence,Central Europe
Franz Schreker,19,Existence,Austria
Gaelic football,4,Competitive,Team sport
Mick O'Connell,5,Competitive,Gaelic football
Brazil,17,Existence,South America
Southeastern Brazil,18,Existence,Brazil
Minas Gerais,19,Existence,Southeastern Brazil
Sericita,20,Existence,Minas Gerais
Alabama,14,Existence,U.S. state
Attorney General of Alabama,15,Existence,Alabama
Steve Marshall (politician),16,Existence,Attorney General of Alabama
Post-punk,8,Existence,Rock music
Trash Kit,9,Existence,Post-punk
Work (project management),0,Project management,Project management
Project management,0,Project management,Work (project management)
Task (project management),1,Project management,Project management
Business process,2,Project management,Task (project management)
Real estate development,3,Project management,Business process
Abbot Kinney,4,Project management,Real estate development
Kinney,5,Project management,Abbot Kinney
Stephane Martine,11,Existence,France
White Americans,14,Existence,Americans
Hillbilly music,15,Existence,White Americans
Country music,16,Existence,Hillbilly music
The Oak Ridge Boys,17,Existence,Country music
Somewhere in the Night (The Oak Ridge Boys song),18,Existence,The Oak Ridge Boys
Decision making,8,Existence,Psychology
Choice,9,Existence,Decision making
Free will,10,Existence,Choice
Play (activity),11,Existence,Free will
Game,12,Existence,Play (activity)
Game of skill,13,Existence,Game
Cue sports,14,Existence,Game of skill
Snooker,15,Existence,Cue sports
Snooker season 2001/2002,16,Existence,Snooker
Sonderfuhrer,0,,
"Attakapas County, Orleans Territory",0,"Attakapas County, Orleans Territory",List of parishes in Louisiana
List of parishes in Louisiana,0,"Attakapas County, Orleans Territory","Attakapas County, Orleans Territory"
